budgetRange,name,label,quarter,date,price(per.sqft)
Premium,Dombivli East,LOCALITY,"apr-june,2009",06/30/2009,2650
Premium,Dombivli East,LOCALITY,"jan-mar,2014",03/31/2014,5550
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2018",12/31/2018,7050
MID,Lodha Regency,PROJECT,"jan-mar,2022",03/31/2022,5950
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2019",06/30/2019,6950
Premium,Dombivli East,LOCALITY,"jan-mar,2010",03/31/2010,3150
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2018",12/31/2018,6600
MID,Lodha Regency,PROJECT,"july-sept,2022",09/30/2022,5850
LUXURY,Runwal My City,PROJECT,"july-sept,2017",09/30/2017,6000
LUXURY,Runwal My City,PROJECT,"apr-june,2022",06/30/2022,8050
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2017",12/31/2017,6850
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2020",03/31/2020,6650
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2021",03/31/2021,6700
MID,Lodha Casa Bella,PROJECT,"oct-dec,2015",12/31/2015,7100
LUXURY,Runwal My City,PROJECT,"jan-mar,2019",03/31/2019,6450
Premium,Dombivli East,LOCALITY,"oct-dec,2017",12/31/2017,6200
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2021",09/30/2021,6700
Premium,Dombivli East,LOCALITY,"jan-mar,2019",03/31/2019,6500
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2017",06/30/2017,6450
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2017",03/31/2017,6550
Premium,Gograswadi,LOCALITY,"oct-dec,2017",12/31/2017,6300
MID,Lodha Casa Bella,PROJECT,"jan-mar,2018",03/31/2018,6350
LUXURY,Regency Anantam,PROJECT,"apr-june,2019",06/30/2019,7100
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2020",09/30/2020,7000
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2018",03/31/2018,7100
MID,Lodha Casa Bella,PROJECT,"oct-dec,2014",12/31/2014,7000
MID,Lodha Palava Downtown,PROJECT,"apr-june,2015",06/30/2015,5700
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2020",03/31/2020,5700
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2016",03/31/2016,6400
Premium,Gograswadi,LOCALITY,"jan-mar,2021",03/31/2021,7100
LUXURY,Runwal My City,PROJECT,"july-sept,2019",09/30/2019,7400
MID,Lodha Casa Bella,PROJECT,"jan-mar,2016",03/31/2016,7100
Premium,Dombivli East,LOCALITY,"july-sept,2013",09/30/2013,5550
LUXURY,Runwal My City,PROJECT,"jan-mar,2022",03/31/2022,7600
LUXURY,Lodha Palava City,PROJECT,"apr-june,2016",06/30/2016,6400
Premium,Dombivli East,LOCALITY,"apr-june,2010",06/30/2010,3400
Premium,Gograswadi,LOCALITY,"july-sept,2017",09/30/2017,6750
MID,Lodha Regency,PROJECT,"jan-mar,2019",03/31/2019,5750
MID,Lodha Regency,PROJECT,"apr-june,2019",06/30/2019,5900
LUXURY,Lodha Palava City,PROJECT,"july-sept,2018",09/30/2018,6550
LUXURY,Runwal My City,PROJECT,"july-sept,2021",09/30/2021,7400
LUXURY,Lodha Palava City,PROJECT,"apr-june,2021",06/30/2021,6850
Premium,Dombivli East,LOCALITY,"apr-june,2018",06/30/2018,6500
Premium,Gograswadi,LOCALITY,"apr-june,2022",06/30/2022,7250
Premium,Gograswadi,LOCALITY,"july-sept,2022",09/30/2022,7100
Premium,Dombivli East,LOCALITY,"apr-june,2022",06/30/2022,6900
Premium,Dombivli East,LOCALITY,"jan-mar,2021",03/31/2021,6800
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2016",06/30/2016,7500
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2017",09/30/2017,7100
Premium,Dombivli East,LOCALITY,"jan-mar,2008",03/31/2008,2600
Premium,Dombivli East,LOCALITY,"oct-dec,2008",12/31/2008,2800
Premium,Dombivli East,LOCALITY,"apr-june,2013",06/30/2013,5600
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2014",09/30/2014,4800
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2019",09/30/2019,6850
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2022",06/30/2022,7500
MID,Lodha Regency,PROJECT,"jan-mar,2016",03/31/2016,5250
LUXURY,Runwal My City,PROJECT,"jan-mar,2016",03/31/2016,5300
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2017",03/31/2017,7050
LUXURY,Regency Anantam,PROJECT,"july-sept,2022",09/30/2022,8100
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2015",06/30/2015,5650
LUXURY,Runwal My City,PROJECT,"july-sept,2014",09/30/2014,4450
MID,Lodha Palava Downtown,PROJECT,"apr-june,2022",06/30/2022,5900
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2017",03/31/2017,6250
Premium,Dombivli East,LOCALITY,"oct-dec,2016",12/31/2016,6300
Premium,Dombivli East,LOCALITY,"jan-mar,2012",03/31/2012,4400
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2020",12/31/2020,6900
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2022",03/31/2022,6650
Premium,Dombivli East,LOCALITY,"july-sept,2011",09/30/2011,4150
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2015",12/31/2015,7400
Premium,Dombivli East,LOCALITY,"apr-june,2011",06/30/2011,4250
LUXURY,Runwal My City,PROJECT,"jan-mar,2015",03/31/2015,4600
Premium,Dombivli East,LOCALITY,"oct-dec,2011",12/31/2011,4300
MID,Lodha Casa Bella,PROJECT,"apr-june,2016",06/30/2016,6950
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2022",12/31/2022,6650
LUXURY,Runwal My City,PROJECT,"oct-dec,2016",12/31/2016,5200
Premium,Dombivli East,LOCALITY,"july-sept,2012",09/30/2012,5250
Premium,Dombivli East,LOCALITY,"oct-dec,2019",12/31/2019,6450
MID,Lodha Regency,PROJECT,"apr-june,2020",06/30/2020,6200
MID,Lodha Regency,PROJECT,"oct-dec,2017",12/31/2017,6050
LUXURY,Runwal My City,PROJECT,"apr-june,2018",06/30/2018,6150
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2016",09/30/2016,6650
MID,Lodha Palava Downtown,PROJECT,"july-sept,2021",09/30/2021,6050
LUXURY,Lodha Palava City,PROJECT,"apr-june,2019",06/30/2019,6500
Premium,Dombivli East,LOCALITY,"july-sept,2018",09/30/2018,6550
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2015",03/31/2015,5650
MID,Lodha Casa Bella,PROJECT,"july-sept,2018",09/30/2018,6300
LUXURY,Lodha Palava City,PROJECT,"july-sept,2019",09/30/2019,6350
Premium,Gograswadi,LOCALITY,"apr-june,2017",06/30/2017,6450
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2021",09/30/2021,5400
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2021",06/30/2021,5700
LUXURY,Runwal My City,PROJECT,"july-sept,2016",09/30/2016,5300
MID,Lodha Casa Bella,PROJECT,"july-sept,2019",09/30/2019,6250
LUXURY,Regency Anantam,PROJECT,"oct-dec,2020",12/31/2020,6850
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2021",03/31/2021,6850
MID,Lodha Casa Bella,PROJECT,"jan-mar,2020",03/31/2020,6300
MID,Lodha Casa Bella,PROJECT,"apr-june,2020",06/30/2020,6250
MID,Lodha Regency,PROJECT,"july-sept,2018",09/30/2018,5800
MID,Lodha Regency,PROJECT,"apr-june,2016",06/30/2016,5250
,,,,,
LUXURY,Regency Anantam,PROJECT,"jan-mar,2021",03/31/2021,7500
Premium,Gograswadi,LOCALITY,"apr-june,2019",06/30/2019,7000
Premium,Gograswadi,LOCALITY,"jan-mar,2019",03/31/2019,6450
MID,Lodha Regency,PROJECT,"jan-mar,2020",03/31/2020,6600
Premium,Dombivli East,LOCALITY,"jan-mar,2015",03/31/2015,5750
MID,Lodha Casa Bella,PROJECT,"july-sept,2020",09/30/2020,6800
Premium,Dombivli East,LOCALITY,"apr-june,2012",06/30/2012,4600
MID,Lodha Palava Downtown,PROJECT,"apr-june,2016",06/30/2016,5550
MID,Lodha Casa Bella,PROJECT,"july-sept,2015",09/30/2015,7600
Premium,Dombivli East,LOCALITY,"july-sept,2010",09/30/2010,3000
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2015",12/31/2015,5550
LUXURY,Runwal My City,PROJECT,"july-sept,2020",09/30/2020,7400
LUXURY,Regency Anantam,PROJECT,"apr-june,2020",06/30/2020,6050
Premium,Dombivli East,LOCALITY,"jan-mar,2016",03/31/2016,6250
Premium,Dombivli East,LOCALITY,"jan-mar,2022",03/31/2022,6600
LUXURY,Regency Anantam,PROJECT,"jan-mar,2022",03/31/2022,7850
LUXURY,Runwal My City,PROJECT,"jan-mar,2017",03/31/2017,4950
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2018",12/31/2018,7100
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2013",12/31/2013,4550
MID,Lodha Regency,PROJECT,"jan-mar,2017",03/31/2017,6200
Premium,Gograswadi,LOCALITY,"july-sept,2021",09/30/2021,7100
Premium,Dombivli East,LOCALITY,"oct-dec,2007",12/31/2007,2500
LUXURY,Runwal My City,PROJECT,"oct-dec,2018",12/31/2018,7250
LUXURY,Lodha Palava City,PROJECT,"apr-june,2014",06/30/2014,5000
MID,Lodha Casa Bella,PROJECT,"apr-june,2017",06/30/2017,6550
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2015",12/31/2015,5000
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2020",03/31/2020,6250
LUXURY,Regency Anantam,PROJECT,"oct-dec,2018",12/31/2018,7050
Premium,Dombivli East,LOCALITY,"apr-june,2020",06/30/2020,6550
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2022",12/31/2022,6050
MID,Lodha Casa Bella,PROJECT,"oct-dec,2018",12/31/2018,6300
MID,Lodha Casa Bella,PROJECT,"apr-june,2013",06/30/2013,5800
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2018",09/30/2018,6700
MID,Lodha Regency,PROJECT,"july-sept,2016",09/30/2016,5450
Premium,Dombivli East,LOCALITY,"jan-mar,2009",03/31/2009,2700
MID,Lodha Casa Bella,PROJECT,"july-sept,2017",09/30/2017,6550
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2018",09/30/2018,6900
Premium,Dombivli East,LOCALITY,"jan-mar,2013",03/31/2013,5700
MID,Lodha Casa Bella,PROJECT,"july-sept,2022",09/30/2022,5800
LUXURY,Lodha Palava City,PROJECT,"july-sept,2014",09/30/2014,5400
LUXURY,Runwal My City,PROJECT,"oct-dec,2015",12/31/2015,5300
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2022",12/31/2022,6700
LUXURY,Lodha Palava City,PROJECT,"july-sept,2020",09/30/2020,7550
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2022",03/31/2022,6800
Premium,Gograswadi,LOCALITY,"july-sept,2019",09/30/2019,6500
MID,Lodha Casa Bella,PROJECT,"apr-june,2015",06/30/2015,7750
Premium,Dombivli East,LOCALITY,"oct-dec,2015",12/31/2015,6100
Premium,Dombivli East,LOCALITY,"july-sept,2007",09/30/2007,1750
Premium,Dombivli East,LOCALITY,"apr-june,2019",06/30/2019,6500
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2014",09/30/2014,6900
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2022",09/30/2022,6650
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2018",03/31/2018,6350
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2017",12/31/2017,6300
Premium,Dombivli East,LOCALITY,"july-sept,2014",09/30/2014,5400
Premium,Dombivli East,LOCALITY,"jan-mar,2007",03/31/2007,2800
LUXURY,Runwal My City,PROJECT,"apr-june,2015",06/30/2015,5150
MID,Lodha Casa Bella,PROJECT,"oct-dec,2016",12/31/2016,6650
MID,Lodha Casa Bella,PROJECT,"jan-mar,2017",03/31/2017,6650
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2019",12/31/2019,6300
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2019",03/31/2019,6900
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2021",03/31/2021,5850
Premium,Dombivli East,LOCALITY,"jan-mar,2018",03/31/2018,6350
LUXURY,Lodha Palava City,PROJECT,"july-sept,2015",09/30/2015,6700
LUXURY,Regency Anantam,PROJECT,"july-sept,2019",09/30/2019,7100
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2021",06/30/2021,6800
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2015",09/30/2015,5650
MID,Lodha Palava Downtown,PROJECT,"july-sept,2015",09/30/2015,5850
Premium,Dombivli East,LOCALITY,"july-sept,2008",09/30/2008,2800
LUXURY,Lodha Palava City,PROJECT,"apr-june,2020",06/30/2020,7150
Premium,Gograswadi,LOCALITY,"apr-june,2018",06/30/2018,6350
MID,Lodha Regency,PROJECT,"oct-dec,2022",12/31/2022,5850
LUXURY,Runwal My City,PROJECT,"july-sept,2022",09/30/2022,7450
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2017",09/30/2017,6850
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2017",06/30/2017,6800
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2014",03/31/2014,5000
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2021",12/31/2021,6450
LUXURY,Runwal My City,PROJECT,"oct-dec,2019",12/31/2019,7150
LUXURY,Regency Anantam,PROJECT,"july-sept,2021",09/30/2021,7300
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2020",06/30/2020,7500
LUXURY,Lodha Palava City,PROJECT,"july-sept,2021",09/30/2021,7200
Premium,Dombivli East,LOCALITY,"july-sept,2009",09/30/2009,2800
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2014",03/31/2014,4850
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2019",03/31/2019,6300
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2021",03/31/2021,6800
Premium,Dombivli East,LOCALITY,"oct-dec,2021",12/31/2021,6550
Premium,Dombivli East,LOCALITY,"apr-june,2007",06/30/2007,2000
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2016",12/31/2016,7050
MID,Lodha Palava Downtown,PROJECT,"july-sept,2017",09/30/2017,6450
Premium,Dombivli East,LOCALITY,"oct-dec,2020",12/31/2020,6500
Premium,Gograswadi,LOCALITY,"oct-dec,2022",12/31/2022,6700
LUXURY,Regency Anantam,PROJECT,"apr-june,2021",06/30/2021,6550
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2018",03/31/2018,7050
LUXURY,Runwal My City,PROJECT,"apr-june,2016",06/30/2016,5200
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2016",03/31/2016,5800
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2016",03/31/2016,5000
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2015",06/30/2015,7950
MID,Lodha Regency,PROJECT,"apr-june,2017",06/30/2017,5900
LUXURY,Regency Anantam,PROJECT,"oct-dec,2022",12/31/2022,8200
MID,Lodha Palava Downtown,PROJECT,"apr-june,2021",06/30/2021,5800
MID,Lodha Casa Bella,PROJECT,"oct-dec,2021",12/31/2021,6250
MID,Lodha Casa Bella,PROJECT,"july-sept,2014",09/30/2014,6300
MID,Lodha Casa Bella,PROJECT,"jan-mar,2014",03/31/2014,6350
Premium,Dombivli East,LOCALITY,"july-sept,2022",09/30/2022,6500
Premium,Dombivli East,LOCALITY,"jan-mar,2020",03/31/2020,6450
MID,Lodha Regency,PROJECT,"oct-dec,2018",12/31/2018,5650
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2015",03/31/2015,7700
LUXURY,Runwal My City,PROJECT,"oct-dec,2021",12/31/2021,7250
Premium,Dombivli East,LOCALITY,"oct-dec,2013",12/31/2013,5100
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2014",06/30/2014,4900
Premium,Dombivli East,LOCALITY,"apr-june,2014",06/30/2014,5000
LUXURY,Lodha Palava City,PROJECT,"july-sept,2017",09/30/2017,6350
MID,Lodha Casa Bella,PROJECT,"oct-dec,2017",12/31/2017,6450
MID,Lodha Palava Downtown,PROJECT,"july-sept,2018",09/30/2018,6950
LUXURY,Runwal My City,PROJECT,"apr-june,2019",06/30/2019,7300
MID,Lodha Casa Bella,PROJECT,"oct-dec,2013",12/31/2013,6000
MID,Lodha Casa Bella,PROJECT,"july-sept,2021",09/30/2021,6700
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2022",09/30/2022,5850
MID,Lodha Palava Downtown,PROJECT,"apr-june,2019",06/30/2019,6500
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2014",12/31/2014,5650
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2018",06/30/2018,7000
Premium,Dombivli East,LOCALITY,"oct-dec,2012",12/31/2012,5700
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2016",03/31/2016,7800
Premium,Dombivli East,LOCALITY,"oct-dec,2014",12/31/2014,5600
LUXURY,Regency Anantam,PROJECT,"jan-mar,2019",03/31/2019,7050
Premium,Dombivli East,LOCALITY,"july-sept,2019",09/30/2019,6450
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2022",03/31/2022,5550
LUXURY,Runwal My City,PROJECT,"oct-dec,2022",12/31/2022,7700
Premium,Gograswadi,LOCALITY,"jan-mar,2018",03/31/2018,6500
LUXURY,Lodha Palava City,PROJECT,"apr-june,2018",06/30/2018,6450
LUXURY,Regency Anantam,PROJECT,"oct-dec,2019",12/31/2019,6950
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2022",12/31/2022,5500
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2022",03/31/2022,5900
Premium,Dombivli East,LOCALITY,"apr-june,2016",06/30/2016,6300
MID,Lodha Regency,PROJECT,"july-sept,2017",09/30/2017,6150
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2020",12/31/2020,6900
LUXURY,Lodha Palava City,PROJECT,"apr-june,2017",06/30/2017,6300
LUXURY,Regency Anantam,PROJECT,"apr-june,2022",06/30/2022,8100
MID,Lodha Casa Bella,PROJECT,"apr-june,2018",06/30/2018,6350
LUXURY,Lodha Palava City,PROJECT,"july-sept,2022",09/30/2022,6350
MID,Lodha Casa Bella,PROJECT,"jan-mar,2013",03/31/2013,6050
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2021",12/31/2021,5650
MID,Lodha Casa Bella,PROJECT,"apr-june,2014",06/30/2014,6500
LUXURY,Runwal My City,PROJECT,"jan-mar,2020",03/31/2020,7000
LUXURY,Regency Anantam,PROJECT,"july-sept,2020",09/30/2020,6450
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2021",12/31/2021,6950
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2018",06/30/2018,7050
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2015",03/31/2015,5800
Premium,Dombivli East,LOCALITY,"jan-mar,2017",03/31/2017,6200
MID,Lodha Casa Bella,PROJECT,"jan-mar,2015",03/31/2015,7100
Premium,Gograswadi,LOCALITY,"jan-mar,2020",03/31/2020,7000
Premium,Dombivli East,LOCALITY,"apr-june,2015",06/30/2015,6100
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2016",12/31/2016,6400
LUXURY,Runwal My City,PROJECT,"apr-june,2020",06/30/2020,6900
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2016",09/30/2016,7200
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2017",12/31/2017,6950
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2021",12/31/2021,6700
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2020",03/31/2020,5550
MID,Lodha Regency,PROJECT,"apr-june,2018",06/30/2018,5800
MID,Lodha Regency,PROJECT,"oct-dec,2021",12/31/2021,5800
MID,Lodha Casa Bella,PROJECT,"jan-mar,2019",03/31/2019,6150
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2018",12/31/2018,6650
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2020",06/30/2020,5100
MID,Lodha Casa Bella,PROJECT,"oct-dec,2019",12/31/2019,6250
Premium,Dombivli East,LOCALITY,"july-sept,2020",09/30/2020,6600
MID,Lodha Casa Bella,PROJECT,"apr-june,2019",06/30/2019,6250
Premium,Dombivli East,LOCALITY,"oct-dec,2009",12/31/2009,2650
LUXURY,Runwal My City,PROJECT,"jan-mar,2018",03/31/2018,5500
Premium,Dombivli East,LOCALITY,"oct-dec,2010",12/31/2010,3700
Premium,Gograswadi,LOCALITY,"jan-mar,2022",03/31/2022,7200
MID,Lodha Casa Bella,PROJECT,"jan-mar,2021",03/31/2021,6050
Premium,Dombivli East,LOCALITY,"july-sept,2015",09/30/2015,6400
LUXURY,Runwal My City,PROJECT,"oct-dec,2017",12/31/2017,5650
LUXURY,Runwal My City,PROJECT,"oct-dec,2014",12/31/2014,4600
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2019",03/31/2019,7000
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2014",12/31/2014,6950
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2019",12/31/2019,6850
Premium,Dombivli East,LOCALITY,"oct-dec,2018",12/31/2018,6650
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2020",09/30/2020,5500
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2015",12/31/2015,5850
MID,Lodha Casa Bella,PROJECT,"july-sept,2016",09/30/2016,6550
MID,Lodha Casa Bella,PROJECT,"july-sept,2013",09/30/2013,6000
LUXURY,Runwal My City,PROJECT,"oct-dec,2020",12/31/2020,7250
MID,Lodha Regency,PROJECT,"jan-mar,2018",03/31/2018,5850
Premium,Dombivli East,LOCALITY,"oct-dec,2022",12/31/2022,7200
Premium,Gograswadi,LOCALITY,"oct-dec,2021",12/31/2021,7700
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2020",12/31/2020,6650
Premium,Dombivli East,LOCALITY,"apr-june,2021",06/30/2021,6600
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2019",12/31/2019,6300
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2017",03/31/2017,6100
MID,Lodha Regency,PROJECT,"apr-june,2021",06/30/2021,6600
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2020",12/31/2020,5650
MID,Lodha Palava Downtown,PROJECT,"july-sept,2022",09/30/2022,6450
Premium,Dombivli East,LOCALITY,"apr-june,2017",06/30/2017,6100
LUXURY,Runwal My City,PROJECT,"apr-june,2021",06/30/2021,7250
Premium,Dombivli East,LOCALITY,"apr-june,2008",06/30/2008,2750
MID,Lodha Regency,PROJECT,"apr-june,2022",06/30/2022,5900
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2019",06/30/2019,6100
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2019",09/30/2019,5750
LUXURY,Lodha Palava City,PROJECT,"apr-june,2022",06/30/2022,7050
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2019",03/31/2019,6500
MID,Lodha Casa Bella,PROJECT,"jan-mar,2022",03/31/2022,6200
MID,Lodha Palava Downtown,PROJECT,"apr-june,2020",06/30/2020,5400
LUXURY,Runwal My City,PROJECT,"july-sept,2015",09/30/2015,5400
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2015",09/30/2015,7750
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2022",06/30/2022,5600
LUXURY,Runwal My City,PROJECT,"july-sept,2018",09/30/2018,6850
LUXURY,Regency Anantam,PROJECT,"jan-mar,2020",03/31/2020,6000
MID,Lodha Casa Bella,PROJECT,"apr-june,2021",06/30/2021,6300
MID,Lodha Palava Downtown,PROJECT,"july-sept,2019",09/30/2019,6600
MID,Lodha Casa Bella,PROJECT,"apr-june,2022",06/30/2022,6550
